"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vmb7wr7","49778","1","Nagi Homura","My-Hime","3","Sat, 11 Mar 2023 19:20:25 GMT","1678562425984","7","","","","No","No","b","","0","0","3","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"vmblmjp","27591","1","King Nothing","JoJo's Bizarre Adventure: JoJolion","2","Sat, 11 Mar 2023 16:31:23 GMT","1678552283278","28","","","","No","No","b","","2","0","2","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","S","F","D","",""
"vmbzzp0","50212","1","Takeshi Oomura","Happy World!","3","Sat, 11 Mar 2023 11:01:17 GMT","1678532477938","2","","","","No","No","b","","0","0","3","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmbbwwg","6240","4","EVA-Beatrice","Umineko: When They Cry","4","Sat, 11 Mar 2023 05:56:36 GMT","1678514196342","150","","","","No","No","","","5","0","4","375842448209084417","375842448209084417","707706551829397565","81","F","S","S","S","A","F","D","",""
"vm5xdpr","39120","1","Horsehair Worm","Heaven's Design Team","0","Fri, 10 Mar 2023 21:33:50 GMT","1678484030969","1","","","","No","No","b","","3","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","S","F","D","",""
"vm5dn49","50123","1","Kagemochi Amakasu","Sengoku Night Blood","1","Fri, 10 Mar 2023 19:09:54 GMT","1678475394802","3","","","","No","No","b","","1","0","1","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vm58zc1","6363","2","Scarlet","Fire Emblem Fates","1","Fri, 10 Mar 2023 17:35:08 GMT","1678469708815","16","","","","No","No","b","","2","0","1","375842448209084417","375842448209084417","707706551829397565","8","F","S","S","S","S","F","D","",""
"vm5pg8h","5506","4","Babu","Sankarea","2","Fri, 10 Mar 2023 12:39:03 GMT","1678451943857","45","","","","No","No","ss","","14","0","2","375842448209084417","375842448209084417","707706551829397565","24","F","S","S","S","A","F","D","",""
"vm5zb30","319","5","Inugami Korone","Hololive: Holo no Graffiti","2","Fri, 10 Mar 2023 11:29:16 GMT","1678447756273","94","","","","No","No","p","","463","1","2","375842448209084417","375842448209084417","707706551829397565","55","F","S","S","S","B","D","C","",""
"vm5n58s","49544","1","Emi Suda","Chihayafuru 2","4","Fri, 10 Mar 2023 08:09:53 GMT","1678435793443","9","","","","No","No","b","","0","0","4","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"vmksfd1","48287","1","Captain Kidd","Persona 5 the Animation","2","Thu, 09 Mar 2023 21:13:56 GMT","1678396436711","16","","","","No","No","b","","4","0","2","375842448209084417","375842448209084417","707706551829397565","8","F","S","S","S","S","F","D","",""
"vmk9rwp","10626","3","Ayato Kirishima","Tokyo Ghoul","1","Thu, 09 Mar 2023 16:09:26 GMT","1678378166116","35","","","","No","No","b","","83","0","1","375842448209084417","375842448209084417","707706551829397565","20","F","S","S","S","A","F","D","",""
"vmk4s9z","49814","1","Vashuka","Tegami Bachi: Letter Bee","0","Thu, 09 Mar 2023 12:10:03 GMT","1678363803671","1","","","","No","No","b","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmkp9mp","14237","1","Gundam Lightning Black Warrior","Gundam Build Fighters Try","2","Thu, 09 Mar 2023 11:32:46 GMT","1678361566178","5","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmk1r5c","22849","2","Master","Spiritpact","2","Thu, 09 Mar 2023 09:18:30 GMT","1678353510800","16","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","D","F","D","",""
"vmknxz1","50193","1","Bake-Zori","GeGeGe no Kitarou (2018)","1","Thu, 09 Mar 2023 07:39:57 GMT","1678347597660","1","","","","No","No","b","","0","0","1","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmkbfcc","49974","1","Mr. Tagawa","Shounen Ashibe: Go! Go! Goma-chan (2017)","1","Thu, 09 Mar 2023 06:25:14 GMT","1678343114853","1","","","","No","No","b","","0","0","1","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmk588d","5529","3","Yoru Nagatsuki","Tsukiuta. The Animation","3","Thu, 09 Mar 2023 04:57:52 GMT","1678337872371","58","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","34","F","S","S","S","A","F","D","",""
